id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
5720,SIS,Hydro,Reservoir,Store,Bolivia,91.11,0.8,2015,,2035,-17.191557,-65.823456,,,,153.73,SIS-010_SIS,Santa Isabel SIS-010 SIS
5721,COR,Hydro,Reservoir,Store,Bolivia,65.25,0.8,2015,,2035,-17.2124218,-65.8765639,,,,193002.74,COR-010_COR,Corani COR-010 COR
5722,SJS,Hydro,Reservoir,Store,Bolivia,54.51,0.8,2015,,2035,-17.1674464,-65.7881271,,,,91.69,SJS-230_SJS,San Jose 1 SJS-230 SJS
5723,SJE,Hydro,Reservoir,Store,Bolivia,68.38,0.8,2015,,2035,-17.1013447,-65.7867551,,,,28.9,SJE-230_SJE,San Jose 2 SJE-230 SJE
5724,ZON,Hydro,Reservoir,Store,Bolivia,11.04,0.8,2015,,2035,-16.0997852,-68.0522296,,,,3121.0,ZON-006_ZON,Zongo ZON-006 ZON
5725,TIQ,Hydro,Reservoir,Store,Bolivia,9.72,0.8,2015,,2035,-16.2016284,-68.1389095,,,,7716.32,TIG-006_TIQ,Tiquimani TIG-006 TIQ
5726,BOT,Hydro,Reservoir,Store,Bolivia,6.81,0.8,2015,,2035,-16.1922082,-68.1405975,,,,13.16,BOT-006_BOT,Botijlaca BOT-006 BOT
5727,CUT,Hydro,Reservoir,Store,Bolivia,22.97,0.8,2015,,2035,-16.1829477,-68.1399833,,,,40.32,CUT-006_CUT,Cuticucho CUT-006 CUT
5728,SRO01,Hydro,Reservoir,Store,Bolivia,6.9,0.8,2015,,2035,-16.13164,-68.10882,,,,1.02,SRO-006_SRO01,Santa Rosa BC SRO-006 SRO01
5729,SRO02*,Hydro,Reservoir,Store,Bolivia,10.69,0.8,2015,,2035,-16.13165,-68.10883,,,,792.31,SRO-006_SRO02,Santa Rosa AC SRO-006 SRO02
5730,SAI,Hydro,Reservoir,Store,Bolivia,10.5,0.8,2015,,2035,-16.124116,-68.0909298,,,,2.85,SAI-006_SAI,Sainani SAI-006 SAI
5731,CHU*,Hydro,Reservoir,Store,Bolivia,25.39,0.8,2015,,2035,-16.1071476,-68.0710414,,,,13.24,CHU-006_CHU,Chururaqui CHU-006 CHU
5732,HAR,Hydro,Reservoir,Store,Bolivia,25.85,0.8,2015,,2035,-16.0892998,-68.0444084,,,,4.76,HAR-006_HAR,Harca HAR-006 HAR
5733,CAH,Hydro,Reservoir,Store,Bolivia,28.02,0.8,2015,,2035,-16.0566164,-68.0151562,,,,8.27,CAH-006_CAH,Cahua CAH-006 CAH
5734,HUA,Hydro,Reservoir,Store,Bolivia,30.15,0.8,2015,,2035,-16.0411515,-67.9771815,,,,15.13,HUA-006_HUA,Huaji HUA-006 HUA
5735,MIG,Hydro,Reservoir,Store,Bolivia,2.55,0.8,2015,,2035,-16.9254382,-67.3769733,,,,2732.94,MIG-069_MIG,Miguilla MIG-069 MIG
5736,ANG,Hydro,Reservoir,Store,Bolivia,6.23,0.8,2015,,2035,-16.8943087,-67.316225,,,,13566.64,MIG-069_ANG,Angostura MIG-069 ANG
5737,CHO,Hydro,Reservoir,Store,Bolivia,6.2,0.8,2015,,2035,-16.8481541,-67.3186577,,,,103.74,MIG-069_CHO,Choquetanga MIG-069 CHO
5738,CRB,Hydro,Reservoir,Store,Bolivia,6.13,0.8,2015,,2035,-16.8681617,-67.3533474,,,,1382.71,MIG-069_CRB,Carabuco MIG-069 CRB
5739,CHJ,Hydro,Reservoir,Store,Bolivia,38.4,0.8,2015,,2035,-16.412412,-67.7719186,,,,8251.22,CHJ-011_CHJ,Chojlla CHJ-011 CHJ
5740,YAN,Hydro,Reservoir,Store,Bolivia,50.79,0.8,2015,,2035,-16.3886717,-67.7450514,,,,56.03,YAN-011_YAN,Yanacachi YAN-011 YAN
5741,KAN,Hydro,Reservoir,Store,Bolivia,7.54,0.8,2015,,2035,-17.3173412,-66.2223072,,,,309.72,KAN-115_KAN,Kanata KAN-115 KAN
5742,KIL,Hydro,Reservoir,Store,Bolivia,11.49,0.8,2015,,2035,-19.7812088,-66.3484859,,,,277.04,YUR-069_KIL,Kilpani YUR-069 KIL
5743,LAN,Hydro,Reservoir,Store,Bolivia,5.15,0.8,2015,,2035,-19.8172138,-66.3210774,,,,1.97,YUR-069_LAN,Landara YUR-069 LAN
5744,PUH*,Hydro,Reservoir,Store,Bolivia,2.4,0.8,2015,,2035,-20.0486377,-66.1353154,,,,17.66,YUR-069_PUH,Punutuma YUR-069 PUH
5745,QUE,Hydro,Reservoir,Store,Bolivia,1.89,0.8,2015,,2035,-16.9992413,-67.2604775,,,,12.4,VIN-069_QUE,Quehata VIN-069 QUE
5746,SJA,Hydro,Reservoir,Store,Bolivia,7.46,0.8,2015,,2035,-21.5761915,-64.7209194,,,,5443.6,TAJ-115_SJA,San Jacinto TAJ-115 SJA
5747,MIS,Hydro,Reservoir,Store,Bolivia,118.68,0.8,2015,,2035,-17.3151747,-66.260958,,,,330427.89,MIS-115_MIS,Misicuni MIS-115 MIS
5748,GCH01*,Natural Gas,Steam Turbine,PP,Bolivia,17.86,0.35,2015,,2035,-17.7861315,-63.1542483,,,,,GCH-069_GCH01,Guaracachi GCH-069 GCH01
5749,GCH02*,Natural Gas,Steam Turbine,PP,Bolivia,16.9,0.35,2015,,2035,-17.7861514,-63.1537873,,,,,GCH-069_GCH02,Guaracachi GCH-069 GCH02
5750,GCH04*,Natural Gas,Steam Turbine,PP,Bolivia,19.13,0.35,2015,,2035,-17.7861724,-63.1535983,,,,,GCH-069_GCH04,Guaracachi GCH-069 GCH04
5751,GCH06*,Natural Gas,Steam Turbine,PP,Bolivia,19.86,0.35,2015,,2035,-17.7861777,-63.1526582,,,,,GCH-069_GCH06,Guaracachi GCH-069 GCH06
5752,GCH09COM*,Natural Gas,Steam Turbine,PP,Bolivia,97.85,0.35,2015,,2035,-17.7878257,-63.1524502,,,,,GCH-069_GCH09COM,Guaracachi GCH-069 GCH09COM
5753,GCH10COM*,Natural Gas,Steam Turbine,PP,Bolivia,96.83,0.35,2015,,2035,-17.7878307,-63.1526702,,,,,GCH-069_GCH10COM,Guaracachi GCH-069 GCH10COM
5754,GCH11*,Natural Gas,Steam Turbine,PP,Bolivia,59.67,0.35,2015,,2035,-17.7866617,-63.1538432,,,,,GCH-069_GCH11,Guaracachi GCH-069 GCH11
5755,SCZ01,Natural Gas,Steam Turbine,PP,Bolivia,20.3,0.35,2015,,2035,-17.7549838,-63.1443477,,,,,PIN-069_SCZ01,Santa Cruz PIN-069 SCZ01
5756,SCZ02,Natural Gas,Steam Turbine,PP,Bolivia,20.72,0.35,2015,,2035,-17.7547797,-63.1402752,,,,,PIN-069_SCZ02,Santa Cruz PIN-069 SCZ02
5757,UNA01*,Bioenergy,Steam Turbine,PP,Bolivia,34.75,0.31,2015,,2035,-17.1107808,-63.2482406,,,,,MIN-115_UNA01,Unagro MIN-115 UNA01
5758,SBU01*,Bioenergy,Steam Turbine,PP,Bolivia,4.94,0.31,2015,,2035,-14.3380748,-67.6181427,,,,,SBU-115_SBU01,San Buenaventura SBU-115 SBU01
5759,AGU01,Bioenergy,Steam Turbine,PP,Bolivia,11.9,0.31,2015,,2035,-16.857456,-63.2804035,,,,,MIN-115_AGU01,AGUAI MIN-115 AGU01
5760,ARJ01*,Natural Gas,Steam Turbine,PP,Bolivia,2.65,0.35,2015,,2035,-19.0539717,-65.2843742,,,,,ARJ-069_ARJ01,Aranajuez ARJ-069 ARJ01
5761,ARJ02*,Natural Gas,Steam Turbine,PP,Bolivia,2.2,0.35,2015,,2035,-19.0540127,-65.2843502,,,,,ARJ-069_ARJ02,Aranajuez ARJ-069 ARJ02
5762,ARJ03*,Natural Gas,Steam Turbine,PP,Bolivia,2.57,0.35,2015,,2035,-19.0540407,-65.2843102,,,,,ARJ-069_ARJ03,Aranajuez ARJ-069 ARJ03
5763,ARJ08,Natural Gas,Steam Turbine,PP,Bolivia,18.02,0.35,2015,,2035,-19.0542162,-65.282563,,,,,ARJ-069_ARJ08,Aranajuez ARJ-069 ARJ08
5764,ARJ09*,Natural Gas,Steam Turbine,PP,Bolivia,1.46,0.35,2015,,2035,-19.0536237,-65.2839672,,,,,ARJ-069_ARJ09,Aranajuez ARJ-069 ARJ09
5765,ARJ11*,Natural Gas,Steam Turbine,PP,Bolivia,1.46,0.35,2015,,2035,-19.0536517,-65.2839542,,,,,ARJ-069_ARJ11,Aranajuez ARJ-069 ARJ11
5766,ARJ12*,Natural Gas,Steam Turbine,PP,Bolivia,1.57,0.35,2015,,2035,-19.0536857,-65.2839082,,,,,ARJ-069_ARJ12,Aranajuez ARJ-069 ARJ12
5767,ARJ13*,Natural Gas,Steam Turbine,PP,Bolivia,1.52,0.35,2015,,2035,-19.0537387,-65.2838972,,,,,ARJ-069_ARJ13,Aranajuez ARJ-069 ARJ13
5768,ARJ14*,Natural Gas,Steam Turbine,PP,Bolivia,1.48,0.35,2015,,2035,-19.0537807,-65.2838692,,,,,ARJ-069_ARJ14,Aranajuez ARJ-069 ARJ14
5769,ARJ15*,Natural Gas,Steam Turbine,PP,Bolivia,1.57,0.35,2015,,2035,-19.0536027,-65.2840222,,,,,ARJ-069_ARJ15,Aranajuez ARJ-069 ARJ15
5770,VHE01,Natural Gas,Steam Turbine,PP,Bolivia,18.33,0.35,2015,,2035,-17.4299457,-66.1183352,,,,,VHE-115_VHE01,Valle Hermoso VHE-115 VHE01
5771,VHE02,Natural Gas,Steam Turbine,PP,Bolivia,18.62,0.35,2015,,2035,-17.4300947,-66.1182662,,,,,VHE-115_VHE02,Valle Hermoso VHE-115 VHE02
5772,VHE03,Natural Gas,Steam Turbine,PP,Bolivia,18.14,0.35,2015,,2035,-17.4302557,-66.1182022,,,,,VHE-115_VHE03,Valle Hermoso VHE-115 VHE03
5773,VHE04,Natural Gas,Steam Turbine,PP,Bolivia,18.44,0.35,2015,,2035,-17.4304297,-66.1181082,,,,,VHE-115_VHE04,Valle Hermoso VHE-115 VHE04
5774,VHE05,Natural Gas,Steam Turbine,PP,Bolivia,10.47,0.35,2015,,2035,-17.4307587,-66.1180372,,,,,VHE-115_VHE05,Valle Hermoso VHE-115 VHE05
5775,VHE06,Natural Gas,Steam Turbine,PP,Bolivia,10.47,0.35,2015,,2035,-17.4307307,-66.1179512,,,,,VHE-115_VHE06,Valle Hermoso VHE-115 VHE06
5776,VHE07,Natural Gas,Steam Turbine,PP,Bolivia,10.47,0.35,2015,,2035,-17.4307307,-66.1179512,,,,,VHE-115_VHE07,Valle Hermoso VHE-115 VHE07
5777,VHE08,Natural Gas,Steam Turbine,PP,Bolivia,10.47,0.35,2015,,2035,-17.4306717,-66.1177712,,,,,VHE-115_VHE08,Valle Hermoso VHE-115 VHE08
5778,CAR01,Natural Gas,Steam Turbine,PP,Bolivia,52.09,0.35,2015,,2035,-17.2125958,-64.5319487,,,,,CAR-230_CAR01,Carrasco CAR-230 CAR01
5779,CAR02,Natural Gas,Steam Turbine,PP,Bolivia,53.78,0.35,2015,,2035,-17.2126807,-64.5283102,,,,,CAR-230_CAR02,Carrasco CAR-230 CAR02
5780,CAR03,Natural Gas,Steam Turbine,PP,Bolivia,23.61,0.35,2015,,2035,-17.2127937,-64.5280822,,,,,CAR-230_CAR03,Carrasco CAR-230 CAR03
5781,ALT01,Natural Gas,Steam Turbine,PP,Bolivia,17.29,0.35,2015,,2035,-16.5654757,-68.1814272,,,,,KEN-115_ALT01,El Alto KEN-115 ALT01
5782,ALT02,Natural Gas,Steam Turbine,PP,Bolivia,31.96,0.35,2015,,2035,-16.5653777,-68.1817352,,,,,KEN-115_ALT02,El Alto KEN-115 ALT02
5783,BUL01,Natural Gas,Steam Turbine,PP,Bolivia,43.12,0.35,2015,,2035,-17.2423217,-64.5410832,,,,,CAR-230_BUL01,Bulo Bulo CAR-230 BUL01
5784,BUL02,Natural Gas,Steam Turbine,PP,Bolivia,43.12,0.35,2015,,2035,-17.2425497,-64.5410292,,,,,CAR-230_BUL02,Bulo Bulo CAR-230 BUL02
5785,BUL03,Natural Gas,Steam Turbine,PP,Bolivia,47.16,0.35,2015,,2035,-17.2428087,-64.5409702,,,,,CAR-230_BUL03,Bulo Bulo CAR-230 BUL03
5786,ERI11,Natural Gas,Steam Turbine,PP,Bolivia,28.58,0.35,2015,,2035,-17.1968637,-64.5160442,,,,,ERI-230_ERI11,Entre Rios ERI-230 ERI11
5787,ERI12,Natural Gas,Steam Turbine,PP,Bolivia,27.9,0.35,2015,,2035,-17.1967867,-64.5162542,,,,,ERI-230_ERI12,Entre Rios ERI-230 ERI12
5788,ERI21,Natural Gas,Steam Turbine,PP,Bolivia,28.98,0.35,2015,,2035,-17.1971047,-64.5161332,,,,,ERI-230_ERI21,Entre Rios ERI-230 ERI21
5789,ERI22,Natural Gas,Steam Turbine,PP,Bolivia,28.3,0.35,2015,,2035,-17.1970457,-64.5163642,,,,,ERI-230_ERI22,Entre Rios ERI-230 ERI22
5790,CCERI30,Natural Gas,CCGT,PP,Bolivia,132.2,0.45,2015,,2035,-17.1953237,-64.5154512,,,,,ERD-230_CCERI30,Entre Rios ERD-230 CCERI30
5791,CCERI40,Natural Gas,CCGT,PP,Bolivia,132.33,0.45,2015,,2035,-17.1955927,-64.5155642,,,,,ERD-230_CCERI40,Entre Rios ERD-230 CCERI40
5792,CCERI50,Natural Gas,CCGT,PP,Bolivia,132.24,0.45,2015,,2035,-17.1960767,-64.5157892,,,,,ERD-230_CCERI50,Entre Rios ERD-230 CCERI50
5793,MOA02**,Oil,Steam Turbine,PP,Bolivia,1.24,0.35,2015,,2035,-14.8299401,-64.937811,,,,,TRI-115_MOA02,Moxos TRI-115 MOA02
5794,MOA05**,Oil,Steam Turbine,PP,Bolivia,1.07,0.35,2015,,2035,-14.8299402,-64.937812,,,,,TRI-115_MOA05,Moxos TRI-115 MOA05
5795,MOA06**,Oil,Steam Turbine,PP,Bolivia,1.09,0.35,2015,,2035,-14.8299403,-64.937813,,,,,TRI-115_MOA06,Moxos TRI-115 MOA06
5796,MOA07**,Oil,Steam Turbine,PP,Bolivia,1.07,0.35,2015,,2035,-14.8299404,-64.937814,,,,,TRI-115_MOA07,Moxos TRI-115 MOA07
5797,MOA08**,Oil,Steam Turbine,PP,Bolivia,1.07,0.35,2015,,2035,-14.8299404,-64.937814,,,,,TRI-115_MOA08,Moxos TRI-115 MOA08
5798,RRE01**,Oil,Steam Turbine,PP,Bolivia,1.17,0.35,2015,,2035,-14.4224258,-67.5466829,,,,,SBU-115_RRE01,Rurrenabaque SBU-115 RRE01
5799,RRE02**,Oil,Steam Turbine,PP,Bolivia,0.59,0.35,2015,,2035,-14.4224259,-67.546683,,,,,SBU-115_RRE02,Rurrenabaque SBU-115 RRE02
5800,SBO01**,Oil,Steam Turbine,PP,Bolivia,1.17,0.35,2015,,2035,-14.85885,-66.7599896,,,,,SBO-115_SBO01,San Borja SBO-115 SBO01
5801,SBO02**,Oil,Steam Turbine,PP,Bolivia,0.59,0.35,2015,,2035,-14.85886,-66.7599897,,,,,SBO-115_SBO02,San Borja SBO-115 SBO02
5802,YUC01**,Oil,Steam Turbine,PP,Bolivia,0.35,0.35,2015,,2035,-15.1405477,-67.0272019,,,,,YUC-115_YUC01,Yucumo YUC-115 YUC01
5803,SAY01**,Oil,Steam Turbine,PP,Bolivia,0.99,0.35,2015,,2035,-13.7371187,-65.4168628,,,,,MOX-115_SAY01,Santa Ana Yacuma MOX-115 SAY01
5804,SAY02**,Oil,Steam Turbine,PP,Bolivia,0.61,0.35,2015,,2035,-13.7371188,-65.4168629,,,,,MOX-115_SAY02,Santa Ana Yacuma MOX-115 SAY02
5805,SIM01**,Oil,Steam Turbine,PP,Bolivia,0.35,0.35,2015,,2035,-15.0004093,-65.6303847,,,,,MOX-115_SIM01,San Ignacio de Moxos MOX-115 SIM01
5806,SIM02**,Oil,Steam Turbine,PP,Bolivia,0.38,0.35,2015,,2035,-15.0004094,-65.6303848,,,,,MOX-115_SIM02,San Ignacio de Moxos MOX-115 SIM02
5807,SUR11,Natural Gas,Steam Turbine,PP,Bolivia,41.48,0.35,2015,,2035,-21.6940898,-63.5630832,,,,,YAG-230_SUR11,Termo del Sur YAG-230 SUR11
5808,SUR12,Natural Gas,Steam Turbine,PP,Bolivia,40.99,0.35,2015,,2035,-21.6941488,-63.5628052,,,,,YAG-230_SUR12,Termo del Sur YAG-230 SUR12
5809,SUR21,Natural Gas,Steam Turbine,PP,Bolivia,41.8,0.35,2015,,2035,-21.6942258,-63.5624112,,,,,YAG-230_SUR21,Termo del Sur YAG-230 SUR21
5810,SUR22,Natural Gas,Steam Turbine,PP,Bolivia,41.7,0.35,2015,,2035,-21.6942608,-63.5621212,,,,,YAG-230_SUR22,Termo del Sur YAG-230 SUR22
5811,CCSUR30,Natural Gas,CCGT,PP,Bolivia,122.98,0.45,2015,,2035,-21.6944898,-63.5606492,,,,,YAG-230_CCSUR30,Termo del Sur YAG-230 CCSUR30
5812,CCSUR40,Natural Gas,CCGT,PP,Bolivia,125.32,0.45,2015,,2035,-21.6946268,-63.5598932,,,,,YAG-230_CCSUR40,Termo del Sur YAG-230 CCSUR40
5813,WAR21*,Natural Gas,Steam Turbine,PP,Bolivia,43.02,0.35,2015,,2035,-17.5345417,-63.1462922,,,,,WAR-230_WAR21,Warnes WAR-230 WAR21
5814,WAR22*,Natural Gas,Steam Turbine,PP,Bolivia,43.23,0.35,2015,,2035,-17.5344317,-63.1460322,,,,,WAR-230_WAR22,Warnes WAR-230 WAR22
5815,WAR51,Natural Gas,Steam Turbine,PP,Bolivia,42.69,0.35,2015,,2035,-17.5353457,-63.1480462,,,,,WAR-230_WAR51,Warnes WAR-230 WAR51
5816,CCWAR10*,Natural Gas,CCGT,PP,Bolivia,123.6,0.45,2015,,2035,-17.5347157,-63.1467692,,,,,WAR-230_CCWAR10,Warnes WAR-230 CCWAR10
5817,CCWAR30*,Natural Gas,CCGT,PP,Bolivia,130.35,0.45,2015,,2035,-17.5360158,-63.1524497,,,,,WAR-230_CCWAR30,Warnes WAR-230 CCWAR30
5818,CCWAR40*,Natural Gas,CCGT,PP,Bolivia,130.03,0.45,2015,,2035,-17.5356627,-63.1483892,,,,,WAR-230_CCWAR40,Warnes WAR-230 CCWAR40
5819,GBE01*,Bioenergy,Steam Turbine,PP,Bolivia,20.64,0.31,2015,,2035,-17.3158488,-63.2662787,,,,,GBE-013_GBE01,Guabira GBE-013 GBE01
5820,IAG01*,Bioenergy,Steam Turbine,PP,Bolivia,5.0,0.31,2015,,2035,-17.3159808,-63.2660377,,,,,GBE-013_IAG01,IAGSA GBE-013 IAG01
5821,QOL,Wind,Onshore,PP,Bolivia,2.95,,2015,,2035,-17.6287401,-65.2916976,,,,,QOL-115_QOL,Qollpana 1 QOL-115 QOL
5822,QOL2,Wind,Onshore,PP,Bolivia,23.59,,2015,,2035,-17.6318502,-65.2760551,,,,,QOL-115_QOL2,Qollpana 2 QOL-115 QOL2
5823,ORU,Solar,PHOT,PP,Bolivia,49.31,,2015,,2035,-17.7753238,-67.4350937,,,,,ORU-115_ORU,Oruro 1 ORU-115 ORU
5824,UYU,Solar,PHOT,PP,Bolivia,59.7,,2015,,2035,-20.5733559,-66.7699542,,,,,SUY-230_UYU,Uyuni SUY-230 UYU
